/Mazda 5 5dr mpv-car-model.html	Mazda 5 5dr mpv
/Mazda B-Series 2dr pick-up-car-model.html	Mazda B-Series 2dr pick-up
/Mazda B-Series 4dr pick-up-car-model.html	Mazda B-Series 4dr pick-up
/Mazda BT-50 2dr pick-up-car-model.html	Mazda BT-50 2dr pick-up
/Mazda BT-50 4dr pick-up-car-model.html	Mazda BT-50 4dr pick-up
/Mazda 2 5dr hatchback-car-model.html	Mazda 2 5dr hatchback
/Mazda MX-5 2dr open-car-model.html	Mazda MX-5 2dr open
/Mazda MX-5 2dr coupé cabriolet-car-model.html	Mazda MX-5 2dr coupé cabriolet
/Mazda 3 5dr hatchback-car-model.html	Mazda 3 5dr hatchback
/Mazda 6 5dr hatchback-car-model.html	Mazda 6 5dr hatchback
/Mazda 6 4dr saloon-car-model.html	Mazda 6 4dr saloon
/Mazda 6 5dr estate-car-model.html	Mazda 6 5dr estate
/Mazda RX-8 4dr coupe-car-model.html	Mazda RX-8 4dr coupe
