/Audi A5 2dr coupe-car-model.html	Audi A5 2dr coupe
/Audi Q7 5dr 4x4-car-model.html	Audi Q7 5dr 4x4
/Audi R8 2dr coupe-car-model.html	Audi R8 2dr coupe
/Audi A3 3dr hatchback-car-model.html	Audi A3 3dr hatchback
/Audi A3 5dr sportback-car-model.html	Audi A3 5dr sportback
/Audi TT 2dr coupe-car-model.html	Audi TT 2dr coupe
/Audi TT 2dr roadster-car-model.html	Audi TT 2dr roadster
/Audi A4 2dr cabriolet-car-model.html	Audi A4 2dr cabriolet
/Audi A4 4dr saloon-car-model.html	Audi A4 4dr saloon
/Audi A4 5dr avant-car-model.html	Audi A4 5dr avant
/Audi A6 4dr saloon-car-model.html	Audi A6 4dr saloon
/Audi A6 5dr avant-car-model.html	Audi A6 5dr avant
/Audi A8 4dr saloon-car-model.html	Audi A8 4dr saloon
/Audi Allroad 5dr 4x4-car-model.html	Audi Allroad 5dr 4x4
